62.00;4.00
61.00;4.00
60.00;4.00
59.00;4.00
58.00;4.00
57.00;4.00
56.00;4.00
55.00;4.00
54.00;4.00
53.00;4.00
52.00;5.00
51.00;5.00
50.00;5.00
49.00;5.00
48.00;5.00
47.00;5.00
46.00;5.00
45.00;5.00
44.00;5.00
43.00;5.00
42.00;5.00
41.00;5.00
40.00;5.00
39.00;5.00
38.00;5.00
37.00;5.00
36.00;5.00
35.00;5.00
34.00;5.00
33.00;5.00
32.00;5.00
31.00;5.00
30.00;5.00
29.00;6.00
28.00;7.00
27.00;8.00
26.00;9.00
25.00;10.00
24.00;11.00
23.00;12.00
22.00;13.00
21.00;14.00
20.00;15.00
19.00;16.00
18.00;17.00
17.00;18.00
16.00;19.00
15.00;20.00
14.00;21.00
13.00;22.00
12.00;23.00
11.00;24.00
10.00;24.00
9.00;24.00
8.00;25.00
7.00;25.00
6.00;26.00
5.00;26.00
4.00;27.00
3.00;27.00
2.00;28.00
1.00;28.00
0.00;29.00
-1.00;29.00
-2.00;29.00
-3.00;30.00
-4.00;30.00
-5.00;31.00
-6.00;31.00
-7.00;32.00
-8.00;32.00
-9.00;33.00
-10.00;33.00
-11.00;34.00
-12.00;34.00
-13.00;34.00
-14.00;35.00
-15.00;35.00
-16.00;36.00
-17.00;36.00
-18.00;37.00
-19.00;37.00
-20.00;38.00
-21.00;38.00
-22.00;38.00
-23.00;39.00
